agenda_item_id,agenda_item_title,matched_address_keys,confidence,subject_matter_number,subject_matter_particulars,registrant_type,registrant_name,beneficiary_names,beneficiary_types
2023.CC7.11,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde,street_type_mismatch_or_missing,SM31135,Potential redevelopment of property at 10-12 Concorde Gate,Consultant,Andrew Jeanrie,Fengate CCC Holdings LP; Fengate Asset Management,Client; Parent company
2023.CC7.11,1-3 Concorde Gate and 10-12 Concorde Place - Zoning By-law Amendment - Ontario Land Tribunal Appeal - Request for Directions,12 concorde,street_type_mismatch_or_missing,SM32939,Potential redevelopment of property at 10-12 Concorde Gate,Consultant,Andrew Jeanrie,Fengate CCC Holdings LP; Fengate Asset Management,Client; Parent company
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",10 beamish,street_type_matched,SM37143,"Development approvals at 4-10 Beamish Drive, Toronto",Consultant,Alex Glista,Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada,Client; Other; Other
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",10 beamish,street_type_matched,SM37147,"Development approvals at 4-10 Beamish Drive, Toronto",Consultant,Michelle German,Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada,Client; Other; Other
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",10 beamish,street_type_matched,SM37142,"Development approvals at 4-10 Beamish Drive, Toronto",Consultant,Aidan Grove-White,Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada,Client; Other; Other
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",10 beamish,street_type_matched,SM37146,"Development approvals at 4-10 Beamish Drive, Toronto",Consultant,Sara Abdella,Fengate Capital Management Ltd; 4-10 Beamish LP; LiUNA Pension Fund of Central and Eastern Canada,Client; Other; Other
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",8 beamish,street_type_matched,SM29621,4-8 Beamish Drive - Rezoning - City File No.: 19232228 WET 03 OZ to permit a 35 storey residential building,Consultant,Michael McCart,Triage Development Corporation,Client
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",10 beamish,street_type_matched,SM34192,Details pertaining to the development rezoning application for 4-10 Beamish Drive.,In-house,Craig Hunter,,
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",8 beamish,street_type_matched,SM30527,"Lobbying on behalf of client regarding a proposed 35-storey residential tower at 4-8 Beamish Drive, Etobicoke ON M9B 3P3",Consultant,Amir Remtulla,Amdev (Beamish) LP; Triage Development Corp.,Client; Other
2023.CC7.9,"4, 6, 8 and 10 Beamish Drive - Zoning By-law Amendment Application - Ontario Land Tribunal Hearing - Request for Directions",4 beamish; 6 beamish; 8 beamish,street_type_matched,SM29131,"Site application for high-rise development in Etobicoke, Ontario (4 Beamish Drive; 6 Beamish Drive; 8 Beamish Drive)",In-house,Amar Bhalla,,
2023.EY6.2,2801 Jane Street - Zoning By-law Amendment Application - Decision Report - Approval,2801 jane,street_type_matched,SM33165,Zoning By-law Amendment Application at 2801 Jane Street,In-house,David Chalmers,,
2023.MM10.5,"Request to Consider Heritage Designation at 3100 Weston Road - by Councillor Anthony Perruzza, seconded by Councillor James Pasternak",3100 weston,street_type_matched,SM35209,Assist client with planning and development application at 3100 Weston Road,Consultant,Kyle Chamberlain,AvranceCorp Developments,Client
2023.MM10.5,"Request to Consider Heritage Designation at 3100 Weston Road - by Councillor Anthony Perruzza, seconded by Councillor James Pasternak",3100 weston,street_type_matched,SM35146,Subdivision planning and condo development at 3100 Weston Rd Toronto Ontario M9M 2S7,Consultant,Jim Karygiannis,AvranceCorp Developments,Client
2023.MM10.5,"Request to Consider Heritage Designation at 3100 Weston Road - by Councillor Anthony Perruzza, seconded by Councillor James Pasternak",3100 weston,street_type_matched,SM35061,"Address of the property: 3100 Weston Road, North York.",In-house,Samuel Babs,,
2023.DM10.1,20 Broadoaks Drive and 11 Catford Road - Ontario Land Tribunal Hearing - Request for Directions,11 catford; 20 broadoaks,street_type_matched,SM25682,11 CATFORD RD. / 20 BROADOAKS DR. 25 BROADOAKS DR. / 3710 KEELE ST.,In-house,Bud Purves,,
2023.EY7.3,"5, 6 and 9 Jopling Avenue South - Zoning By-law Amendment - Decision Report - Approval",9 jopling,street_type_matched,SM35582,5-9 Jopling Ave S,In-house,Mitch Gascoyne,,
2023.NY8.10,48 Grenoble Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,48 grenoble,street_type_matched,SM35000,"Re-development of 48 Grenoble Drive, inclusive of full rental replacement",Consultant,Tristan Downe-Dewdney,Microbjo Properties Inc.; Tenblock Developments,Client; Other
2023.NY8.10,48 Grenoble Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,48 grenoble,street_type_matched,SM35510,Approval conditions for 48 Grenoble Drive,Consultant,Tristan Downe-Dewdney,Microbjo Properties Inc.; Tenblock Developments,Client; Other
2023.NY8.10,48 Grenoble Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,48 grenoble,street_type_matched,SM35533,"Development of policy/permission framework to allow for deep-ground geothermal assets to be located under parks. Applicable to 25 St Mary St, 48 Grenoble Dr, 1875 Steeles Ave W, 5 Capri Dr, and 145 St George St",Consultant,Tristan Downe-Dewdney,Tenblock Developments; 145 St. George Company Partnership; 155 Antibes Developments Inc.; Capri Holdings Limited Co-Tenancy; Microbjo Properties Inc.; 25 St. Mary Developments Inc.,Client; Other; Other; Other; Other; Other
2023.NY8.10,48 Grenoble Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,48 grenoble,street_type_matched,SM32813,48 Grenoble Drive,In-house,Stephen Job,,
2023.TE9.12,822-838 Richmond Street West Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval,838 richmond,street_type_matched,SM33058,"822-838 Richmond Street West - General issues related to OPA, ZBA, and Site Plan control.",In-house,Jeffrey Hull,,
2023.TE9.12,822-838 Richmond Street West Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval,838 richmond,street_type_matched,SM33690,"General engagement - Application being made for 822-838 Richmond Street West, Toronto",Consultant,Aidan Grove-White,Hullmark Asset Management,Client
2023.TE9.27,685 Lake Shore Boulevard East - Applications for Zoning By-law Amendment and Site Plan Control - Appeal Report,685 lakeshore,street_type_matched,SM36100,To provide an update on the status of a proposed development at 685 Lakeshore Blvd. East,Consultant,Gayle Nathanson,Port Lands Lakeshore; Carlyle CMCC (Port Lands) LP; Carlyle CMCC (Port Lands) Inc.; Carlyle Communities Inc.; SCREO II SLH GP INC; SCREO II SLH LP; SLH Lakeshore Inc.,Client; Subsidiary company; Controlling Interest; Parent company; Controlling Interest; Parent company; Subsidiary company
2023.TE9.27,685 Lake Shore Boulevard East - Applications for Zoning By-law Amendment and Site Plan Control - Appeal Report,685 lakeshore,street_type_matched,SM36101,685 Lakeshore Blvd east,In-house,Naram Mansour,,
2023.CC13.10,250 Wincott Drive and 4620 Eglinton Avenue West - Authority to Amend Section 37 Agreement to Reflect the Minor Variance Decision of the Committee of Adjustment,250 wincott,street_type_matched,SM36644,"For 250 Wincott Drive (Richview Square), Zoning By-Law amendment application.",Consultant,Ryan Doherty,Trinity Development Group Inc.,Client
2023.CC13.10,250 Wincott Drive and 4620 Eglinton Avenue West - Authority to Amend Section 37 Agreement to Reflect the Minor Variance Decision of the Committee of Adjustment,250 wincott; 4620 eglinton,street_type_matched,SM31594,"Zoning By-law Amendment Application (Application 23 101352 WET 02 OZ)
250 Wincott Drive and 4620 Eglinton Avenue West",In-house,Fred Waks,,
2023.CC13.10,250 Wincott Drive and 4620 Eglinton Avenue West - Authority to Amend Section 37 Agreement to Reflect the Minor Variance Decision of the Committee of Adjustment,250 wincott,street_type_matched,SM22096,"250 Wincott Drive, Etobicoke",In-house,Mathew Laing,,
2023.CC13.10,250 Wincott Drive and 4620 Eglinton Avenue West - Authority to Amend Section 37 Agreement to Reflect the Minor Variance Decision of the Committee of Adjustment,250 wincott,street_type_matched,SM22091,Planning opinion letters re: development of 250 Wincott Drive.,Consultant,Peter Smith,Trinity Development Group,Client
2023.CC13.10,250 Wincott Drive and 4620 Eglinton Avenue West - Authority to Amend Section 37 Agreement to Reflect the Minor Variance Decision of the Committee of Adjustment,250 wincott,street_type_matched,SM22981,Internal Planning Opinion letter between Bousfields & client re the redevelopment of 250 Wincott Dr. (Richview Square)with eventual ZBA application,Consultant,Peter Smith,Trinity Development Group Inc.,Client
2024.SC10.5,54-62 Glen Everest Road - Rental Housing Demolition Application - Decision Report - Approval,62 gleneverest,street_type_matched,SM32183,"Zoning By-law amendment for proposed redevelopment located at 54, 58 and 62 Glen Everest Road.",Consultant,Michael Bissett,Altree Developments,Client
2024.NY10.5,3 Swift Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,3 swift,street_type_matched,SM35254,3 Swift Drive,Consultant,Tristan Downe-Dewdney,Republic Developments Inc.; 2724471 Ontario Inc.,Client; Other
2024.EY10.5,4884-4896 Dundas Street West - Official Plan Amendment and Zoning By-law Amendment Application - Appeal Report,4896 dundas,street_type_matched,SM32522,Potential Redevelopment of 4884-4896 Dundas St West,In-house,Jack Winberg,,
2024.EY10.5,4884-4896 Dundas Street West - Official Plan Amendment and Zoning By-law Amendment Application - Appeal Report,4896 dundas,street_type_matched,SM33122,Community Engagement services for 4884-4896 Dundas St. W,Consultant,Jocelyn Deeks,Rockport Group,Client
2024.EY10.5,4884-4896 Dundas Street West - Official Plan Amendment and Zoning By-law Amendment Application - Appeal Report,4896 dundas,street_type_matched,SM32421,Redevelopment of 4884-4896 Dundas St W,Consultant,Amir Remtulla,Rockport Homes Limited,Client
2024.CC14.10,"3585 and 3595 St. Clair Avenue East, 636 to 646 and 641 to 663 Danforth Road, and 411 and 415 Kennedy Road - Official Plan Amendment, Zoning Amendment, Draft Plan of Subdivision - Request for Direction",3595 stclair,street_type_matched,SM17069,"Draft ""conditions of approval"" for/and draft plan of subdivision application re 3585 & 3595 St. Clair Ave.",Consultant,Robert Cutler,St. Clair Investment Group,Client
2024.CC14.10,"3585 and 3595 St. Clair Avenue East, 636 to 646 and 641 to 663 Danforth Road, and 411 and 415 Kennedy Road - Official Plan Amendment, Zoning Amendment, Draft Plan of Subdivision - Request for Direction",3585 stclair; 3595 stclair; 411 kennedy; 415 kennedy; 663 danforth,street_type_matched,SM35291,"3585 and 3595 St. Clair Avenue East, 636 to 646 and 641 to 663 Danforth Road, and 411 and 415 Kennedy Road",Consultant,Tristan Downe-Dewdney,Republic Developments Inc.; Toronto (Scarborough Junction) Limited Partnership; Harlo Capital,Client; Other; Other
2024.NY11.6,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment, Plan of Subdivision, and Site Plan Applications - Appeal Report",1053 donmills,street_type_matched,SM34126,"2,4,6 the Donway East and 1053 Don Mills Road - Proposed Redevelopment",In-house,Ornella Richichi,,
2024.NY11.6,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment, Plan of Subdivision, and Site Plan Applications - Appeal Report",1053 donmills,street_type_matched,SM34197,"1053 Don Mills Road and 2,4, 4R and 6 The Donway East",Consultant,Amir Remtulla,The Don Way East Limited; Plaza Partners; The Donway Acquisition Limited Partnership,Client; Parent company; Parent company
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",625 yonge,street_type_matched,SM21485,"625 Yonge Street and 9 Isabella Street, Toronto",Consultant,Chris Drew,YI Developments Limited,Client
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",625 yonge,street_type_matched,SM20206,"Redevelopment of 625 Yonge Street and 9 Isabella Street, Toronto",Consultant,Patrick Devine,YI Developments Limited,Client
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",637 yonge,street_type_matched,SM33180,Rezoning application for a development at 619-637 Yonge Street.,Consultant,Tristan Downe-Dewdney,YI Developments; Rabba Fine Foods,Client; Other
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",637 yonge,street_type_matched,SM34122,All planning and development matters related to 619-637 Yonge Street,Consultant,John Eaton,YI Developments,Client
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",637 yonge,street_type_matched,SM34250,Zoning By-law amendment for site located at 619-637 Yonge Street and 7-9 Isabella Street,Consultant,Tyler Grinyer,Colliers International Group Inc.,Client
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",637 yonge,street_type_matched,SM35343,Rezoning application for a development at 619-637 Yonge Street,Consultant,Tristan Downe-Dewdney,YI Developments; Rabba Fine Foods,Client; Other
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",637 yonge,street_type_matched,SM34233,Development Application for 619-637 Yonge Street,Consultant,Randy Gladman,YI Developments,Client
2024.PB15.13,1779-1787 Bayview Avenue - Official Plan and Zoning By-law Amendment and Site Plan Control Applications - Heritage Matters,1787 bayview,street_type_matched,SM34680,Development application for the site at 1779-1787 Bayview Avenue at Metrolinx station.,Consultant,John Campbell,Condor Properties,Client
2024.PB15.10,"49 and 51 Yonge Street - Alterations to Heritage Properties, Demolition of Heritage Attributes and Authority to Enter into a Heritage Easement Agreement",51 yonge,street_type_matched,SM34166,49/51 Yonge St.,Consultant,Amir Remtulla,SmartCentres REIT,Client
2024.PB15.10,"49 and 51 Yonge Street - Alterations to Heritage Properties, Demolition of Heritage Attributes and Authority to Enter into a Heritage Easement Agreement",49 yonge,street_type_matched,SM33192,"Development of 49 Yonge Street, Toronto, ON",Consultant,Amir Remtulla,Calloway Real Estate Investment Trust Inc.; SmartCentres REIT,Client; Parent company
2024.PB15.10,"49 and 51 Yonge Street - Alterations to Heritage Properties, Demolition of Heritage Attributes and Authority to Enter into a Heritage Easement Agreement",51 yonge,street_type_matched,SM34249,49-51 Yonge Street,In-house,Allan Scully,,
2024.NY11.2,72 Church Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,72 church,street_type_matched,SM34801,4-storey rental apartment building at 72 Church Ave,In-house,Yougan Wei,,
2024.NY11.2,72 Church Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,72 church,street_type_matched,SM35256,"Planning approvals for 72 Church Avenue, North York",Consultant,Mark Jacobs,Jean Wang,Client
2024.NY11.2,72 Church Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,72 church,street_type_matched,SM34778,A 4-storey rental apartment building at 72 Church Ave.,Consultant,Anthony Biglieri,Yougan Wei & Jean Wang,Client
2024.NY11.2,72 Church Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,72 church,street_type_matched,SM36840,"Introduction of Minor Variance application for 72 Church Avenue, North York",Consultant,Mark Jacobs,YOU GAN WEI and XIAO JING WANG,Client
2024.PB16.16,"374, 376 and 378 Yonge Street - Approval of Application for Alterations to Designated Heritage Properties Under Part IV, Section 33 of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement",376 yonge; 378 yonge,street_type_matched,SM33106,"Rezoning and Site Plan applications approval for new mixed use building at 372, 374, 374A, 376 and 378 Yonge Street. Applications: 20-174053 STE 11 OZ and 21-215063 STE 11 SA.",In-house,Dani Cohen,,
2024.PB16.13,"68 Wellesley Street East - Refusal of Application for Alterations to Designated Heritage Properties Under Part IV, Section 33 of the Ontario Heritage Act",68 wellesley,street_type_matched,SM22585,68 Wellesley Street East,In-house,Joe Valela,,
2024.CC17.7,4884-4896 Dundas Street West - Ontario Land Tribunal Hearing - Request for Directions,4896 dundas,street_type_matched,SM32522,Potential Redevelopment of 4884-4896 Dundas St West,In-house,Jack Winberg,,
2024.CC17.7,4884-4896 Dundas Street West - Ontario Land Tribunal Hearing - Request for Directions,4896 dundas,street_type_matched,SM33122,Community Engagement services for 4884-4896 Dundas St. W,Consultant,Jocelyn Deeks,Rockport Group,Client
2024.CC17.7,4884-4896 Dundas Street West - Ontario Land Tribunal Hearing - Request for Directions,4896 dundas,street_type_matched,SM32421,Redevelopment of 4884-4896 Dundas St W,Consultant,Amir Remtulla,Rockport Homes Limited,Client
2024.PH11.13,"1111 Danforth Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",1111 danforth,street_type_matched,SM32923,Lobbying on behalf of proposed development application at 1095-1111 Danforth Avenue,Consultant,Amir Remtulla,1095- 1111 Danforth Project GP Inc.; Core Development Group Ltd.,Client; Parent company
2024.PH11.13,"1111 Danforth Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",1111 danforth,street_type_matched,SM32914,Planning application for 1095-1111 Danforth Avenue,In-house,Andre Robichaud,,
2024.TE12.5,171-175 Lowther Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,175 lowther,street_type_matched,SM32776,Minor Variance for project located at 171-175 Lowther Avenue,Consultant,Mike Dror,Reznick Events Carpets,Client
2024.TE13.7,1117 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,1117 danforth,street_type_matched,SM25631,Research into redevelopment of 1117 Danforth Ave. based on the Toronto OP & Zoning By-laws,Consultant,Tyler Grinyer,Houselink Community Homes,Client
